method,global_track_id,experiment,year,n_points,start,end,duration,compared,near_count,min_nearest_km,mean_nearest_km,lat_min,lat_max,lon_min,lon_max,prob_mean
ML,ML_GGW_105_0013,GGW,105,33,1000,1033,34,33,12,329.86912582752,2489.706585500509,25.578947067260746,35.05263137817383,277.5,305.0,0.7880538310226614
ML,ML_GGW_91_0008,GGW,91,27,866,892,27,26,12,98.9250981118422,1188.4211456145895,33.157894134521484,40.73684310913086,287.5,295.0,0.8839193363682261
ML,ML_GGW_90_0002,GGW,90,34,805,838,34,34,13,430.94338080506066,897.6628476623018,14.210526466369627,23.6842098236084,305.0,330.0,0.8071778356503492
ML,ML_GGW_107_0011,GGW,107,25,982,1006,25,25,13,105.6854018316595,1342.4508423464806,42.6315803527832,48.31578826904297,302.5,327.5,0.810028447432085
ML,ML_GGW_107_0008,GGW,107,24,929,952,24,24,13,544.7154849068808,783.7415118364903,16.105262756347656,18.0,292.5,335.0,0.6782959545131023
ML,ML_CTL_60_0008,CTL,60,43,918,961,44,43,14,461.51711251662766,1856.1709751760598,16.105262756347656,29.36842155456543,260.0,302.5,0.7817373157612764
ML,ML_CTL_46_0001,CTL,46,29,787,815,29,21,14,104.19448433388486,652.6572463690068,40.73684310913086,48.31578826904297,270.0,297.5,0.7757105147639471
ML,ML_GGW_117_0002,GGW,117,27,766,798,33,27,14,268.22522786672573,790.1331104835726,12.315789222717283,33.157894134521484,290.0,335.0,0.7834164469327225
ML,ML_GGW_102_0003,GGW,102,25,803,827,25,23,14,421.61718401877016,826.9759246157405,12.315789222717283,25.578947067260746,292.5,327.5,0.714851711102081
ML,ML_GGW_117_0006,GGW,117,25,878,902,25,25,14,12.897087837509542,2537.7556123432473,42.6315803527832,48.31578826904297,272.5,302.5,0.8431639240350896
ML,ML_CTL_57_0007,CTL,57,24,886,909,24,24,14,253.57000523263076,1336.6243374623148,44.52631759643555,48.31578826904297,330.0,350.0,0.819934254669953
ML,ML_CTL_39_0010,CTL,39,48,897,944,48,48,15,237.49988078497148,1377.046285908221,14.210526466369627,36.94736862182617,307.5,340.0,0.7637926815143228
ML,ML_GGW_99_0010,GGW,99,36,1049,1088,40,22,15,454.3821169597713,875.802422225952,16.105262756347656,19.894737243652344,310.0,335.0,0.7246219824481612
ML,ML_GGW_116_0018,GGW,116,29,993,1022,30,22,15,367.5379149600963,1663.154946166208,12.315789222717283,21.789474487304688,315.0,350.0,0.719825064272776
ML,ML_CTL_40_0016,CTL,40,41,1008,1048,41,40,16,257.96816736505843,889.4176221683214,16.105262756347656,48.31578826904297,290.0,305.0,0.8050926256909756
ML,ML_GGW_107_0005,GGW,107,28,792,819,28,28,16,490.75004107454873,1640.5885366655236,16.105262756347656,40.73684310913086,295.0,310.0,0.8246814330818077
ML,ML_CTL_55_0003,CTL,55,24,835,858,24,17,16,11.327490529395298,547.7149820583948,33.157894134521484,40.73684310913086,275.0,282.5,0.8147345726221831
ML,ML_CTL_57_0013,CTL,57,32,1060,1091,32,29,17,373.6833380911081,1019.5721565980185,12.315789222717283,23.6842098236084,300.0,317.5,0.8505368898081833
ML,ML_GGW_119_0013,GGW,119,28,1004,1035,32,19,17,137.40648745098522,1089.682585138753,16.105262756347656,23.6842098236084,327.5,337.5,0.745544032289729
ML,ML_GGW_109_0001,GGW,109,27,728,760,33,27,17,178.49788974689173,877.3947786612631,14.210526466369627,19.894737243652344,295.0,337.5,0.7933337298100832
