method,global_track_id,experiment,year,n_points,start,end,duration,compared,near_count,min_nearest_km,mean_nearest_km,lat_min,lat_max,lon_min,lon_max,prob_mean
OWZ,OWZ_GGW_97_0163,GGW,97,28,884,911,28,13,0,3384.357912702928,3689.2686015077,13.282220840454102,19.745681762695312,267.30841064453125,304.9200439453125,
OWZ,OWZ_CTL_52_0116,CTL,52,27,862,888,27,27,0,1494.105561497944,2254.5031396270324,12.335577011108398,18.891529083251957,279.5688781738281,329.7803955078125,
OWZ,OWZ_CTL_54_0081,CTL,54,27,747,773,27,2,0,4976.513563168738,5083.477454502709,10.5555419921875,18.22773742675781,286.9126892089844,321.8004150390625,
OWZ,OWZ_CTL_54_0121,CTL,54,27,880,906,27,20,0,1059.8588208496508,1401.8614225941794,14.204717636108398,22.88042449951172,304.6514587402344,346.4244384765625,
OWZ,OWZ_GGW_90_0182,GGW,90,27,989,1015,27,22,0,1211.7197728991678,2740.8454724267376,16.03472900390625,20.1185302734375,261.197265625,302.4049072265625,
OWZ,OWZ_CTL_36_0192,CTL,36,26,1001,1026,26,26,0,827.4613470553397,1714.5264152678526,12.501883506774902,26.03862762451172,329.9498291015625,347.903564453125,
OWZ,OWZ_CTL_37_0109,CTL,37,26,758,783,26,15,0,1737.31312561098,3558.5342611139754,33.016685485839844,42.8428955078125,314.9594116210937,332.4823608398437,
OWZ,OWZ_CTL_37_0115,CTL,37,26,797,822,26,5,0,4752.25501462277,5022.583630737592,43.704566955566406,49.26367950439453,327.5458374023437,342.7205810546875,
OWZ,OWZ_CTL_42_0144,CTL,42,26,1009,1034,26,25,0,4151.630360437499,4579.657301752283,18.4704704284668,29.74085998535156,281.422607421875,298.0255126953125,
OWZ,OWZ_CTL_53_0064,CTL,53,26,753,778,26,21,0,827.1464134525378,1226.254099149141,11.330585479736328,18.212085723876957,308.12518310546875,340.0333251953125,
OWZ,OWZ_CTL_54_0170,CTL,54,26,1013,1038,26,22,0,946.7595701886639,1189.2497476332614,11.286100387573242,18.11663818359375,314.376708984375,344.7779541015625,
OWZ,OWZ_GGW_92_0082,GGW,92,26,769,794,26,21,0,2304.612793349685,3863.4864692777046,11.607166290283203,16.27695083618164,287.9783935546875,333.89532470703125,
OWZ,OWZ_GGW_94_0153,GGW,94,26,917,942,26,26,0,1223.182299212033,3185.5402040953913,13.246024131774902,16.281137466430664,307.5723876953125,342.459716796875,
OWZ,OWZ_GGW_103_0086,GGW,103,26,891,918,28,10,0,3092.061719875313,3577.788696709268,41.62783050537109,49.82648849487305,269.9123840332031,343.75030517578125,
OWZ,OWZ_GGW_114_0107,GGW,114,26,840,865,26,26,0,2858.4012900098014,3442.5298632592394,10.278919219970703,18.16921806335449,319.8643798828125,354.0648193359375,
OWZ,OWZ_GGW_117_0137,GGW,117,26,794,819,26,5,0,5058.1834504493145,5545.810550311944,13.371219635009766,18.90658950805664,313.1664733886719,347.5611572265625,
OWZ,OWZ_CTL_31_0154,CTL,31,25,1034,1058,25,1,0,5494.291569003604,5494.291569003604,38.65901947021485,41.38286209106445,274.71051025390625,286.7676696777344,
OWZ,OWZ_CTL_42_0115,CTL,42,25,916,940,25,12,0,2773.240472951227,3298.2541099187147,39.32806015014648,48.3227653503418,331.26837158203125,351.8609313964844,
OWZ,OWZ_CTL_53_0084,CTL,53,25,859,883,25,11,0,951.7808318913156,1208.204825321449,15.116390228271484,22.85078811645508,309.6939697265625,338.76318359375,
OWZ,OWZ_GGW_93_0119,GGW,93,25,832,856,25,9,0,3790.0436434360727,4035.0362555466377,14.278190612792969,25.66079330444336,267.4259033203125,299.4344482421875,
OWZ,OWZ_GGW_94_0134,GGW,94,25,867,891,25,24,0,1923.672678636138,3818.6443270486293,37.67282104492188,45.346168518066406,303.42291259765625,342.42364501953125,
OWZ,OWZ_GGW_96_0172,GGW,96,25,929,953,25,25,0,1105.0137458678983,1263.406030172739,12.215007781982422,20.845951080322266,277.82049560546875,314.03076171875,
OWZ,OWZ_GGW_108_0162,GGW,108,25,824,848,25,18,0,4260.8021253805755,4699.064771297406,21.772974014282227,26.235015869140625,265.7209167480469,303.7991027832031,
OWZ,OWZ_CTL_35_0151,CTL,35,24,932,955,24,20,0,1049.3782449327075,1333.7835049272767,11.380655288696287,19.03457260131836,297.0625,332.432373046875,
OWZ,OWZ_CTL_38_0079,CTL,38,24,848,871,24,8,0,2862.352354237335,3111.21999728024,12.177101135253906,20.40576934814453,301.17095947265625,339.7748413085937,
OWZ,OWZ_CTL_49_0112,CTL,49,24,814,837,24,0,0,,,37.41023254394531,46.01341247558594,315.11944580078125,336.2021484375,
OWZ,OWZ_CTL_58_0138,CTL,58,24,886,909,24,18,0,913.3300845952126,2436.430182206551,12.443275451660156,18.17238426208496,316.29986572265625,348.83135986328125,
OWZ,OWZ_CTL_59_0137,CTL,59,24,1040,1064,25,8,0,3774.0914312195764,5042.094799508585,42.6082763671875,49.82245635986328,1.201951026916504,353.80908203125,
OWZ,OWZ_CTL_60_0111,CTL,60,24,865,888,24,20,0,830.707654621514,1225.1777074927168,10.468268394470217,20.056459426879883,312.58074951171875,346.02618408203125,
OWZ,OWZ_GGW_93_0125,GGW,93,24,846,869,24,21,0,1210.5091217056085,1775.9579039419132,13.30613136291504,15.269065856933594,297.454833984375,331.3969116210937,
OWZ,OWZ_GGW_103_0102,GGW,103,24,947,970,24,16,0,1551.2158306800297,2310.508004503443,26.0014762878418,29.92118453979492,275.63623046875,286.0281677246094,
