experiment,year,global_track_id,track_id,time,lat,lon,windMax,twarm,jetcore,time_index,month
CTL,39,OWZ_CTL_39_0238,238,-15430404,31.83708953857422,305.84161376953125,4.202305316925049,,0,1034,9
CTL,39,OWZ_CTL_39_0238,238,-15430398,32.65932846069336,305.82611083984375,6.754667282104492,,0,1035,9
CTL,39,OWZ_CTL_39_0238,238,-15430392,33.32535171508789,305.96466064453125,6.4674973487854,,0,1036,9
CTL,39,OWZ_CTL_39_0238,238,-15430386,34.44844055175781,307.4698486328125,5.432899475097656,,0,1037,9
CTL,39,OWZ_CTL_39_0238,238,-15430380,35.36763381958008,309.3088073730469,6.483155250549316,,0,1038,9
CTL,39,OWZ_CTL_39_0238,238,-15430374,35.86594772338867,309.5121765136719,4.994851589202881,,0,1039,9
CTL,39,OWZ_CTL_39_0238,238,-15430368,35.46343994140625,311.71246337890625,5.576272487640381,,0,1040,9
CTL,39,OWZ_CTL_39_0240,240,-15430398,21.840137481689453,342.17620849609375,6.53513240814209,,0,1035,9
CTL,39,OWZ_CTL_39_0240,240,-15430392,21.857040405273438,339.9720764160156,5.8117146492004395,,0,1036,9
CTL,39,OWZ_CTL_39_0240,240,-15430386,21.931171417236328,339.69915771484375,6.715009689331055,,0,1037,9
CTL,39,OWZ_CTL_39_0240,240,-15430380,22.64286231994629,337.48858642578125,8.533204078674316,,0,1038,9
CTL,39,OWZ_CTL_39_0240,240,-15430374,23.645584106445312,336.4351806640625,6.522863388061523,,0,1039,9
CTL,39,OWZ_CTL_39_0240,240,-15430368,22.982242584228516,334.93438720703125,8.701393127441406,,0,1040,9
CTL,39,OWZ_CTL_39_0240,240,-15430362,23.85504913330078,334.729248046875,8.103697776794434,,0,1041,9
CTL,39,OWZ_CTL_39_0240,240,-15430356,24.86178207397461,333.7640686035156,8.65092658996582,,0,1042,9
CTL,39,OWZ_CTL_39_0240,240,-15430350,25.71070098876953,333.0223388671875,8.822540283203125,,0,1043,9
CTL,39,OWZ_CTL_39_0240,240,-15430344,25.858989715576172,332.20843505859375,8.99670696258545,,0,1044,9
CTL,39,OWZ_CTL_39_0242,242,-15430326,11.961780548095703,263.484130859375,7.438493251800537,,0,1047,9
CTL,39,OWZ_CTL_39_0242,242,-15430320,12.023178100585938,263.5252685546875,7.41494083404541,,0,1048,9
CTL,39,OWZ_CTL_39_0242,242,-15430314,11.466829299926758,262.3742980957031,8.123985290527344,,0,1049,9
CTL,39,OWZ_CTL_39_0242,242,-15430308,11.453590393066406,263.4617919921875,6.576972961425781,,0,1050,9
CTL,39,OWZ_CTL_39_0242,242,-15430302,11.491191864013672,261.35577392578125,6.705299377441406,,0,1051,9
CTL,39,OWZ_CTL_39_0243,243,-15430296,15.155634880065918,308.62359619140625,5.023263454437256,,0,1052,9
CTL,39,OWZ_CTL_39_0243,243,-15430290,15.085126876831055,306.377197265625,5.288435935974121,,0,1053,9
CTL,39,OWZ_CTL_39_0243,243,-15430284,15.094512939453125,307.402587890625,5.062821865081787,,0,1054,9
CTL,39,OWZ_CTL_39_0243,243,-15430278,15.048219680786133,306.49462890625,4.541065692901611,,0,1055,9
CTL,39,OWZ_CTL_39_0243,243,-15430272,14.251749038696289,304.93096923828125,6.7076287269592285,,0,1056,9
CTL,39,OWZ_CTL_39_0243,243,-15430266,14.23367691040039,304.7847900390625,5.643304347991943,,0,1057,9
CTL,39,OWZ_CTL_39_0243,243,-15430260,13.24843692779541,303.498779296875,5.568458557128906,,0,1058,9
CTL,39,OWZ_CTL_39_0243,243,-15430254,13.251708984375,302.5069580078125,3.0016674995422363,,0,1059,9
CTL,39,OWZ_CTL_39_0246,246,-15430218,16.229217529296875,307.593994140625,7.242433071136475,,0,1065,9
CTL,39,OWZ_CTL_39_0246,246,-15430212,16.054658889770508,305.2812194824219,7.751343250274658,,0,1066,9
CTL,39,OWZ_CTL_39_0246,246,-15430206,15.11302375793457,304.0472106933594,7.953919410705566,,0,1067,9
CTL,39,OWZ_CTL_39_0246,246,-15430200,15.086822509765625,301.5665283203125,8.492416381835938,,0,1068,9
CTL,39,OWZ_CTL_39_0246,246,-15430194,15.986907958984375,300.22186279296875,8.206646919250488,,0,1069,9
CTL,39,OWZ_CTL_39_0246,246,-15430188,16.957632064819336,297.85406494140625,7.6590962409973145,,0,1070,9
CTL,39,OWZ_CTL_39_0246,246,-15430182,17.029664993286133,297.6044921875,8.953529357910156,,0,1071,9
CTL,39,OWZ_CTL_39_0246,246,-15430176,18.77117347717285,295.60723876953125,9.654211044311523,,0,1072,9
CTL,39,OWZ_CTL_39_0246,246,-15430170,18.908546447753906,293.84002685546875,7.8898091316223145,,0,1073,9
CTL,39,OWZ_CTL_39_0246,246,-15430164,19.089313507080078,291.842529296875,6.507894992828369,,0,1074,9
CTL,39,OWZ_CTL_39_0250,250,-15430164,17.741798400878906,280.55755615234375,7.760200023651123,,0,1074,9
CTL,39,OWZ_CTL_39_0250,250,-15430158,18.941598892211914,279.326904296875,7.978437423706055,,0,1075,9
CTL,39,OWZ_CTL_39_0250,250,-15430152,20.018592834472656,277.395751953125,7.953395366668701,,0,1076,9
CTL,39,OWZ_CTL_39_0250,250,-15430146,18.172691345214844,276.4361572265625,8.719451904296875,,0,1077,9
CTL,39,OWZ_CTL_39_0250,250,-15430140,19.095638275146484,275.1277770996094,6.578416347503662,,0,1078,9
CTL,39,OWZ_CTL_39_0250,250,-15430134,21.8929443359375,272.6011962890625,6.506510257720947,,0,1079,9
CTL,39,OWZ_CTL_39_0250,250,-15430128,20.01138687133789,271.333251953125,6.598730087280273,,0,1080,9
CTL,39,OWZ_CTL_39_0250,250,-15430122,19.987747192382812,271.28900146484375,6.592808246612549,0.9552494883537292,0,1081,9
CTL,39,OWZ_CTL_39_0250,250,-15430116,22.717853546142578,273.5511474609375,7.160220623016357,-0.2960372865200043,0,1082,9
CTL,39,OWZ_CTL_39_0250,250,-15430110,21.809677124023438,271.11578369140625,7.760044097900391,-0.27822935581207275,0,1083,9
CTL,39,OWZ_CTL_39_0250,250,-15430104,21.83072280883789,271.20611572265625,9.207996368408203,0.35832449793815613,0,1084,9
CTL,39,OWZ_CTL_39_0250,250,-15430098,22.841026306152344,272.4762268066406,10.073018074035645,0.23620350658893585,0,1085,9
CTL,39,OWZ_CTL_39_0250,250,-15430092,21.84610366821289,268.6444396972656,10.692694664001465,0.6733424067497253,0,1086,9
CTL,39,OWZ_CTL_39_0250,250,-15430086,22.71779441833496,268.71270751953125,11.107000350952148,1.1525075435638428,0,1087,9
CTL,39,OWZ_CTL_39_0250,250,-15430080,22.624296188354492,266.346923828125,11.923650741577148,1.1550307273864746,0,1088,9
CTL,39,OWZ_CTL_39_0250,250,-15430074,23.600509643554688,264.3264465332031,11.833199501037598,,0,1089,9
CTL,39,OWZ_CTL_39_0250,250,-15430068,23.637304306030273,263.85113525390625,10.226825714111328,,0,1090,9
CTL,39,OWZ_CTL_39_0250,250,-15430062,23.725194931030273,262.7386779785156,9.61684799194336,,0,1091,9
CTL,39,OWZ_CTL_39_0251,251,-15430128,13.310991287231445,344.3294982910156,6.895110130310059,,0,1080,9
CTL,39,OWZ_CTL_39_0251,251,-15430122,12.387123107910156,343.86517333984375,7.050661563873291,,0,1081,9
CTL,39,OWZ_CTL_39_0251,251,-15430116,12.432951927185059,342.50982666015625,7.871885776519775,,0,1082,9
CTL,39,OWZ_CTL_39_0251,251,-15430110,12.412216186523438,341.589111328125,7.70269775390625,,0,1083,9
CTL,39,OWZ_CTL_39_0251,251,-15430104,12.449430465698242,341.38031005859375,5.371649265289307,,0,1084,9
CTL,39,OWZ_CTL_39_0251,251,-15430098,14.143204689025879,339.401611328125,5.427612781524658,,0,1085,9
CTL,39,OWZ_CTL_39_0251,251,-15430092,14.159591674804688,339.22991943359375,5.946728706359863,,0,1086,9
CTL,39,OWZ_CTL_39_0251,251,-15430086,12.479349136352539,338.9798278808594,6.352575302124023,,0,1087,9
CTL,39,OWZ_CTL_39_0251,251,-15430080,14.177267074584961,338.8179931640625,7.148580074310303,,0,1088,9
CTL,39,OWZ_CTL_39_0251,251,-15430074,14.201314926147461,337.39288330078125,7.1193389892578125,,0,1089,9
CTL,39,OWZ_CTL_39_0251,251,-15430068,14.204057693481445,336.588134765625,7.6997480392456055,,0,1090,9
CTL,39,OWZ_CTL_39_0251,251,-15430062,15.19262981414795,336.4080810546875,8.687361717224121,,0,1091,9
CTL,39,OWZ_CTL_39_0255,255,-15430062,17.155258178710938,274.02587890625,9.732735633850098,,0,1091,9
CTL,39,OWZ_CTL_39_0256,256,-15430062,42.843345642089844,325.3215026855469,9.405329704284668,,0,1091,9
CTL,40,OWZ_CTL_40_0104,104,-15423480,17.103546142578125,307.6318359375,11.676124572753906,,0,724,7
CTL,40,OWZ_CTL_40_0104,104,-15423474,17.07310676574707,305.09014892578125,12.051922798156738,,0,725,7
CTL,40,OWZ_CTL_40_0104,104,-15423468,17.641090393066406,302.601318359375,11.454874992370605,,0,726,7
CTL,40,OWZ_CTL_40_0104,104,-15423462,17.73296356201172,300.0828857421875,11.608423233032227,,0,727,7
CTL,40,OWZ_CTL_40_0104,104,-15423456,17.750633239746094,297.5860290527344,12.247380256652832,,0,728,7
CTL,40,OWZ_CTL_40_0104,104,-15423450,17.77574348449707,295.0511779785156,12.207308769226074,,0,729,7
CTL,40,OWZ_CTL_40_0104,104,-15423444,17.831111907958984,292.575439453125,9.924187660217285,,0,730,7
CTL,40,OWZ_CTL_40_0104,104,-15423438,19.35458755493164,290.07354736328125,7.680542469024658,,0,731,7
CTL,40,OWZ_CTL_40_0104,104,-15423432,19.39399528503418,287.51055908203125,6.657800674438477,,0,732,7
CTL,40,OWZ_CTL_40_0104,104,-15423426,19.673694610595703,285.0624084472656,11.457682609558105,,0,733,7
CTL,40,OWZ_CTL_40_0104,104,-15423420,21.239429473876953,282.644287109375,10.146232604980469,,0,734,7
CTL,40,OWZ_CTL_40_0104,104,-15423414,21.520366668701172,280.86944580078125,11.345656394958496,,0,735,7
CTL,40,OWZ_CTL_40_0104,104,-15423408,23.10348129272461,279.89990234375,11.353438377380371,,0,736,7
CTL,40,OWZ_CTL_40_0104,104,-15423402,23.1519775390625,277.559326171875,9.902019500732422,,0,737,7
CTL,40,OWZ_CTL_40_0104,104,-15423396,23.36083984375,275.3240966796875,9.67190170288086,,0,738,7
CTL,40,OWZ_CTL_40_0104,104,-15423390,24.477420806884766,274.9873046875,8.857173919677734,,0,739,7
CTL,40,OWZ_CTL_40_0104,104,-15423384,23.60208511352539,272.7750244140625,7.951816558837891,,0,740,7
CTL,40,OWZ_CTL_40_0104,104,-15423378,23.82897186279297,271.16546630859375,7.80230188369751,,0,741,7
CTL,40,OWZ_CTL_40_0104,104,-15423372,25.436344146728516,272.45538330078125,8.147760391235352,,0,742,7
CTL,40,OWZ_CTL_40_0104,104,-15423366,25.614551544189453,272.23626708984375,8.009797096252441,,0,743,7
CTL,40,OWZ_CTL_40_0104,104,-15423360,25.617931365966797,272.0146179199219,8.164020538330078,,0,744,7
CTL,40,OWZ_CTL_40_0104,104,-15423354,26.712120056152344,273.0662841796875,8.748591423034668,,0,745,7
CTL,40,OWZ_CTL_40_0107,107,-15423480,16.196372985839844,265.4710693359375,4.052152156829834,,0,724,7
CTL,40,OWZ_CTL_40_0109,109,-15423480,42.206077575683594,317.5733642578125,8.263650894165039,,1,724,7
CTL,40,OWZ_CTL_40_0109,109,-15423474,40.813968658447266,318.9951477050781,8.076621055603027,0.5193527340888977,1,725,7
CTL,40,OWZ_CTL_40_0109,109,-15423468,40.80185317993164,321.4608154296875,8.501908302307129,,1,726,7
CTL,40,OWZ_CTL_40_0109,109,-15423462,39.43009948730469,316.23699951171875,12.309967041015625,,1,727,7
CTL,40,OWZ_CTL_40_0109,109,-15423456,39.41191864013672,314.9817199707031,11.71822738647461,,1,728,7
CTL,40,OWZ_CTL_40_0109,109,-15423450,40.56324768066406,321.32171630859375,6.276171684265137,1.1585311889648438,1,729,7
CTL,40,OWZ_CTL_40_0118,118,-15423330,42.092933654785156,303.87884521484375,10.954696655273438,,0,749,7
CTL,40,OWZ_CTL_40_0118,118,-15423324,42.20624542236328,307.472412109375,11.248714447021484,0.714312732219696,0,750,7
CTL,40,OWZ_CTL_40_0118,118,-15423318,41.65513610839844,307.6798095703125,11.704557418823242,0.6912645697593689,0,751,7
CTL,40,OWZ_CTL_40_0118,118,-15423312,42.238739013671875,311.2832336425781,11.102577209472656,0.7899131774902344,0,752,7
